states,regions,latitude,longitude,dates,usage
West Bengal,ER,22.58039044,88.32994665,2019-01-05,107.0
Sikkim,ER,27.3333303,88.6166475,2019-01-05,2.0
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-05,2.2
Assam,NER,26.7499809,94.21666744,2019-01-05,22.5
Manipur,NER,24.79997072,93.95001705,2019-01-05,2.7
Meghalaya,NER,25.57049217,91.8800142,2019-01-05,5.7
Mizoram,NER,23.71039899,92.72001461,2019-01-05,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-05,2.3
Tripura,NER,23.83540428,91.27999914,2019-01-05,3.5
Punjab,NR,31.51997398,75.98000281,2019-01-06,121.4
Haryana,NR,28.45000633,77.01999101,2019-01-06,132.6
Rajasthan,NR,26.44999921,74.63998124,2019-01-06,240.4
Delhi,NR,28.6699929,77.23000403,2019-01-06,76.6
UP,NR,27.59998069,78.05000565,2019-01-06,286.8
Uttarakhand,NR,30.32040895,78.05000565,2019-01-06,39.2
HP,NR,31.10002545,77.16659704,2019-01-06,31.0
J&K,NR,33.45,76.24,2019-01-06,53.2
Chandigarh,NR,30.71999697,76.78000565,2019-01-06,4.3
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-06,68.1
Gujarat,WR,22.2587,71.1924,2019-01-06,320.7
MP,WR,21.30039105,76.13001949,2019-01-06,227.4
Maharashtra,WR,19.25023195,73.16017493,2019-01-06,408.6
Goa,WR,15.491997,73.81800065,2019-01-06,12.9
DNH,WR,20.26657819,73.0166178,2019-01-06,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-06,171.2
Telangana,SR,18.1124,79.0193,2019-01-06,194.9
Karnataka,SR,12.57038129,76.91999711,2019-01-06,217.5
Kerala,SR,8.900372741,76.56999263,2019-01-06,75.4
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-06,298.3
Pondy,SR,11.93499371,79.83000037,2019-01-06,7.2
Bihar,ER,25.78541445,87.4799727,2019-01-06,76.4
Jharkhand,ER,23.80039349,86.41998572,2019-01-06,22.6
Odisha,ER,19.82042971,85.90001746,2019-01-06,62.9
West Bengal,ER,22.58039044,88.32994665,2019-01-06,106.4
Sikkim,ER,27.3333303,88.6166475,2019-01-06,2.0
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-06,2.2
Assam,NER,26.7499809,94.21666744,2019-01-06,21.7
Manipur,NER,24.79997072,93.95001705,2019-01-06,2.7
Meghalaya,NER,25.57049217,91.8800142,2019-01-06,6.2
Mizoram,NER,23.71039899,92.72001461,2019-01-06,1.9
Nagaland,NER,25.6669979,94.11657019,2019-01-06,2.3
Tripura,NER,23.83540428,91.27999914,2019-01-06,3.3
Punjab,NR,31.51997398,75.98000281,2019-01-07,118.0
Haryana,NR,28.45000633,77.01999101,2019-01-07,132.1
Rajasthan,NR,26.44999921,74.63998124,2019-01-07,241.9
Delhi,NR,28.6699929,77.23000403,2019-01-07,71.1
UP,NR,27.59998069,78.05000565,2019-01-07,294.2
Uttarakhand,NR,30.32040895,78.05000565,2019-01-07,40.1
HP,NR,31.10002545,77.16659704,2019-01-07,30.1
J&K,NR,33.45,76.24,2019-01-07,53.3
Chandigarh,NR,30.71999697,76.78000565,2019-01-07,4.0
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-07,73.1
Gujarat,WR,22.2587,71.1924,2019-01-07,319.4
MP,WR,21.30039105,76.13001949,2019-01-07,230.3
Maharashtra,WR,19.25023195,73.16017493,2019-01-07,408.1
Goa,WR,15.491997,73.81800065,2019-01-07,12.7
DNH,WR,20.26657819,73.0166178,2019-01-07,18.3
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-07,166.4
Telangana,SR,18.1124,79.0193,2019-01-07,191.9
Karnataka,SR,12.57038129,76.91999711,2019-01-07,217.4
Kerala,SR,8.900372741,76.56999263,2019-01-07,74.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-07,294.2
Pondy,SR,11.93499371,79.83000037,2019-01-07,7.0
Bihar,ER,25.78541445,87.4799727,2019-01-07,75.3
Jharkhand,ER,23.80039349,86.41998572,2019-01-07,23.9
Odisha,ER,19.82042971,85.90001746,2019-01-07,64.0
West Bengal,ER,22.58039044,88.32994665,2019-01-07,109.3
Sikkim,ER,27.3333303,88.6166475,2019-01-07,1.5
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-07,2.2
Assam,NER,26.7499809,94.21666744,2019-01-07,21.4
Manipur,NER,24.79997072,93.95001705,2019-01-07,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-01-07,6.1
Mizoram,NER,23.71039899,92.72001461,2019-01-07,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-07,2.3
Tripura,NER,23.83540428,91.27999914,2019-01-07,3.3
Punjab,NR,31.51997398,75.98000281,2019-01-08,107.5
Haryana,NR,28.45000633,77.01999101,2019-01-08,121.4
Rajasthan,NR,26.44999921,74.63998124,2019-01-08,237.2
Delhi,NR,28.6699929,77.23000403,2019-01-08,69.0
UP,NR,27.59998069,78.05000565,2019-01-08,289.4
Uttarakhand,NR,30.32040895,78.05000565,2019-01-08,37.0
HP,NR,31.10002545,77.16659704,2019-01-08,29.2
J&K,NR,33.45,76.24,2019-01-08,51.2
Chandigarh,NR,30.71999697,76.78000565,2019-01-08,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-08,74.2
Gujarat,WR,22.2587,71.1924,2019-01-08,307.9
MP,WR,21.30039105,76.13001949,2019-01-08,228.8
Maharashtra,WR,19.25023195,73.16017493,2019-01-08,398.2
Goa,WR,15.491997,73.81800065,2019-01-08,10.9
DNH,WR,20.26657819,73.0166178,2019-01-08,18.1
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-08,160.8
Telangana,SR,18.1124,79.0193,2019-01-08,190.8
Karnataka,SR,12.57038129,76.91999711,2019-01-08,201.0
Kerala,SR,8.900372741,76.56999263,2019-01-08,68.2
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-08,279.2
Pondy,SR,11.93499371,79.83000037,2019-01-08,6.5
Bihar,ER,25.78541445,87.4799727,2019-01-08,76.2
Jharkhand,ER,23.80039349,86.41998572,2019-01-08,23.3
Odisha,ER,19.82042971,85.90001746,2019-01-08,63.6
West Bengal,ER,22.58039044,88.32994665,2019-01-08,102.9
Sikkim,ER,27.3333303,88.6166475,2019-01-08,1.6
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-08,2.3
Assam,NER,26.7499809,94.21666744,2019-01-08,20.7
Manipur,NER,24.79997072,93.95001705,2019-01-08,2.6
Meghalaya,NER,25.57049217,91.8800142,2019-01-08,6.2
Mizoram,NER,23.71039899,92.72001461,2019-01-08,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-08,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-08,3.3
Punjab,NR,31.51997398,75.98000281,2019-01-09,132.5
Haryana,NR,28.45000633,77.01999101,2019-01-09,148.2
Rajasthan,NR,26.44999921,74.63998124,2019-01-09,197.0
Delhi,NR,28.6699929,77.23000403,2019-01-09,89.2
UP,NR,27.59998069,78.05000565,2019-01-09,258.6
Uttarakhand,NR,30.32040895,78.05000565,2019-01-09,35.9
HP,NR,31.10002545,77.16659704,2019-01-09,25.3
J&K,NR,33.45,76.24,2019-01-09,37.9
Chandigarh,NR,30.71999697,76.78000565,2019-01-09,3.9
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-09,77.2
Gujarat,WR,22.2587,71.1924,2019-01-09,260.0
MP,WR,21.30039105,76.13001949,2019-01-09,162.5
Maharashtra,WR,19.25023195,73.16017493,2019-01-09,400.9
Goa,WR,15.491997,73.81800065,2019-01-09,12.1
DNH,WR,20.26657819,73.0166178,2019-01-09,18.0
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-09,163.0
Telangana,SR,18.1124,79.0193,2019-01-09,167.5
Karnataka,SR,12.57038129,76.91999711,2019-01-09,173.6
Kerala,SR,8.900372741,76.56999263,2019-01-09,67.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-09,280.4
Pondy,SR,11.93499371,79.83000037,2019-01-09,7.6
Bihar,ER,25.78541445,87.4799727,2019-01-09,56.4
Jharkhand,ER,23.80039349,86.41998572,2019-01-09,19.2
Odisha,ER,19.82042971,85.90001746,2019-01-09,86.6
West Bengal,ER,22.58039044,88.32994665,2019-01-09,131.7
Sikkim,ER,27.3333303,88.6166475,2019-01-09,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-09,2.1
Assam,NER,26.7499809,94.21666744,2019-01-09,25.8
Manipur,NER,24.79997072,93.95001705,2019-01-09,2.3
Meghalaya,NER,25.57049217,91.8800142,2019-01-09,6.0
Mizoram,NER,23.71039899,92.72001461,2019-01-09,1.7
Nagaland,NER,25.6669979,94.11657019,2019-01-09,2.4
Tripura,NER,23.83540428,91.27999914,2019-01-09,4.2
Punjab,NR,31.51997398,75.98000281,2019-01-10,131.5
Haryana,NR,28.45000633,77.01999101,2019-01-10,157.0
Rajasthan,NR,26.44999921,74.63998124,2019-01-10,199.9
Delhi,NR,28.6699929,77.23000403,2019-01-10,92.8
UP,NR,27.59998069,78.05000565,2019-01-10,284.2
Uttarakhand,NR,30.32040895,78.05000565,2019-01-10,35.3
HP,NR,31.10002545,77.16659704,2019-01-10,26.5
J&K,NR,33.45,76.24,2019-01-10,31.7
Chandigarh,NR,30.71999697,76.78000565,2019-01-10,3.9
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-10,79.0
Gujarat,WR,22.2587,71.1924,2019-01-10,268.3
MP,WR,21.30039105,76.13001949,2019-01-10,159.6
Maharashtra,WR,19.25023195,73.16017493,2019-01-10,409.7
Goa,WR,15.491997,73.81800065,2019-01-10,12.1
DNH,WR,20.26657819,73.0166178,2019-01-10,17.8
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-10,168.8
Telangana,SR,18.1124,79.0193,2019-01-10,173.4
Karnataka,SR,12.57038129,76.91999711,2019-01-10,176.0
Kerala,SR,8.900372741,76.56999263,2019-01-10,68.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-10,290.8
Pondy,SR,11.93499371,79.83000037,2019-01-10,7.9
Bihar,ER,25.78541445,87.4799727,2019-01-10,69.9
Jharkhand,ER,23.80039349,86.41998572,2019-01-10,21.8
Odisha,ER,19.82042971,85.90001746,2019-01-10,78.8
West Bengal,ER,22.58039044,88.32994665,2019-01-10,140.1
Sikkim,ER,27.3333303,88.6166475,2019-01-10,1.1
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-10,2.1
Assam,NER,26.7499809,94.21666744,2019-01-10,25.8
Manipur,NER,24.79997072,93.95001705,2019-01-10,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-01-10,6.2
Mizoram,NER,23.71039899,92.72001461,2019-01-10,1.7
Nagaland,NER,25.6669979,94.11657019,2019-01-10,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-10,4.3
Punjab,NR,31.51997398,75.98000281,2019-01-11,130.3
Haryana,NR,28.45000633,77.01999101,2019-01-11,145.3
Rajasthan,NR,26.44999921,74.63998124,2019-01-11,187.7
Delhi,NR,28.6699929,77.23000403,2019-01-11,79.5
UP,NR,27.59998069,78.05000565,2019-01-11,281.4
Uttarakhand,NR,30.32040895,78.05000565,2019-01-11,30.1
HP,NR,31.10002545,77.16659704,2019-01-11,23.9
J&K,NR,33.45,76.24,2019-01-11,37.3
Chandigarh,NR,30.71999697,76.78000565,2019-01-11,3.4
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-11,80.7
Gujarat,WR,22.2587,71.1924,2019-01-11,275.0
MP,WR,21.30039105,76.13001949,2019-01-11,154.3
Maharashtra,WR,19.25023195,73.16017493,2019-01-11,405.2
Goa,WR,15.491997,73.81800065,2019-01-11,12.1
DNH,WR,20.26657819,73.0166178,2019-01-11,16.9
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-11,167.7
Telangana,SR,18.1124,79.0193,2019-01-11,166.7
Karnataka,SR,12.57038129,76.91999711,2019-01-11,157.0
Kerala,SR,8.900372741,76.56999263,2019-01-11,67.4
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-11,270.5
Pondy,SR,11.93499371,79.83000037,2019-01-11,7.1
Bihar,ER,25.78541445,87.4799727,2019-01-11,76.2
Jharkhand,ER,23.80039349,86.41998572,2019-01-11,23.3
Odisha,ER,19.82042971,85.90001746,2019-01-11,78.4
West Bengal,ER,22.58039044,88.32994665,2019-01-11,149.8
Sikkim,ER,27.3333303,88.6166475,2019-01-11,0.8
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-11,2.1
Assam,NER,26.7499809,94.21666744,2019-01-11,27.9
Manipur,NER,24.79997072,93.95001705,2019-01-11,2.4
Meghalaya,NER,25.57049217,91.8800142,2019-01-11,6.2
Mizoram,NER,23.71039899,92.72001461,2019-01-11,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-11,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-11,4.3
Punjab,NR,31.51997398,75.98000281,2019-01-12,137.9
Haryana,NR,28.45000633,77.01999101,2019-01-12,151.9
Rajasthan,NR,26.44999921,74.63998124,2019-01-12,189.9
Delhi,NR,28.6699929,77.23000403,2019-01-12,92.6
UP,NR,27.59998069,78.05000565,2019-01-12,298.6
Uttarakhand,NR,30.32040895,78.05000565,2019-01-12,34.7
HP,NR,31.10002545,77.16659704,2019-01-12,26.4
J&K,NR,33.45,76.24,2019-01-12,34.6
Chandigarh,NR,30.71999697,76.78000565,2019-01-12,4.0
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-12,85.2
Gujarat,WR,22.2587,71.1924,2019-01-12,294.1
MP,WR,21.30039105,76.13001949,2019-01-12,161.1
Maharashtra,WR,19.25023195,73.16017493,2019-01-12,421.8
Goa,WR,15.491997,73.81800065,2019-01-12,12.2
DNH,WR,20.26657819,73.0166178,2019-01-12,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-12,168.1
Telangana,SR,18.1124,79.0193,2019-01-12,173.2
Karnataka,SR,12.57038129,76.91999711,2019-01-12,163.5
Kerala,SR,8.900372741,76.56999263,2019-01-12,69.9
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-12,298.4
Pondy,SR,11.93499371,79.83000037,2019-01-12,8.0
Bihar,ER,25.78541445,87.4799727,2019-01-12,82.3
Jharkhand,ER,23.80039349,86.41998572,2019-01-12,24.3
Odisha,ER,19.82042971,85.90001746,2019-01-12,82.4
West Bengal,ER,22.58039044,88.32994665,2019-01-12,154.7
Sikkim,ER,27.3333303,88.6166475,2019-01-12,1.0
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-12,2.1
Assam,NER,26.7499809,94.21666744,2019-01-12,30.1
Manipur,NER,24.79997072,93.95001705,2019-01-12,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-01-12,6.0
Mizoram,NER,23.71039899,92.72001461,2019-01-12,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-12,2.0
Tripura,NER,23.83540428,91.27999914,2019-01-12,4.6
Punjab,NR,31.51997398,75.98000281,2019-01-13,135.8
Haryana,NR,28.45000633,77.01999101,2019-01-13,141.4
Rajasthan,NR,26.44999921,74.63998124,2019-01-13,186.9
Delhi,NR,28.6699929,77.23000403,2019-01-13,89.4
UP,NR,27.59998069,78.05000565,2019-01-13,310.0
Uttarakhand,NR,30.32040895,78.05000565,2019-01-13,36.7
HP,NR,31.10002545,77.16659704,2019-01-13,26.4
J&K,NR,33.45,76.24,2019-01-13,32.7
Chandigarh,NR,30.71999697,76.78000565,2019-01-13,3.8
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-13,87.6
Gujarat,WR,22.2587,71.1924,2019-01-13,301.2
MP,WR,21.30039105,76.13001949,2019-01-13,168.6
Maharashtra,WR,19.25023195,73.16017493,2019-01-13,408.3
Goa,WR,15.491997,73.81800065,2019-01-13,12.4
DNH,WR,20.26657819,73.0166178,2019-01-13,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-13,164.9
Telangana,SR,18.1124,79.0193,2019-01-13,176.9
Karnataka,SR,12.57038129,76.91999711,2019-01-13,162.4
Kerala,SR,8.900372741,76.56999263,2019-01-13,72.4
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-13,314.1
Pondy,SR,11.93499371,79.83000037,2019-01-13,8.4
Bihar,ER,25.78541445,87.4799727,2019-01-13,87.7
Jharkhand,ER,23.80039349,86.41998572,2019-01-13,24.8
Odisha,ER,19.82042971,85.90001746,2019-01-13,84.3
West Bengal,ER,22.58039044,88.32994665,2019-01-13,155.3
Sikkim,ER,27.3333303,88.6166475,2019-01-13,1.0
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-13,2.1
Assam,NER,26.7499809,94.21666744,2019-01-13,30.1
Manipur,NER,24.79997072,93.95001705,2019-01-13,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-01-13,5.9
Mizoram,NER,23.71039899,92.72001461,2019-01-13,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-13,2.2
Tripura,NER,23.83540428,91.27999914,2019-01-13,4.8
Punjab,NR,31.51997398,75.98000281,2019-01-14,139.3
Haryana,NR,28.45000633,77.01999101,2019-01-14,143.8
Rajasthan,NR,26.44999921,74.63998124,2019-01-14,195.2
Delhi,NR,28.6699929,77.23000403,2019-01-14,82.2
UP,NR,27.59998069,78.05000565,2019-01-14,319.5
Uttarakhand,NR,30.32040895,78.05000565,2019-01-14,35.5
HP,NR,31.10002545,77.16659704,2019-01-14,26.9
J&K,NR,33.45,76.24,2019-01-14,37.6
Chandigarh,NR,30.71999697,76.78000565,2019-01-14,3.5
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-14,89.6
Gujarat,WR,22.2587,71.1924,2019-01-14,305.6
MP,WR,21.30039105,76.13001949,2019-01-14,170.7
Maharashtra,WR,19.25023195,73.16017493,2019-01-14,406.3
Goa,WR,15.491997,73.81800065,2019-01-14,12.4
DNH,WR,20.26657819,73.0166178,2019-01-14,18.5
Andhra Pradesh,SR,14.7504291,78.57002559,2019-01-14,163.3
Telangana,SR,18.1124,79.0193,2019-01-14,177.0
Karnataka,SR,12.57038129,76.91999711,2019-01-14,156.7
Kerala,SR,8.900372741,76.56999263,2019-01-14,69.6
Tamil Nadu,SR,12.92038576,79.15004187,2019-01-14,305.9
Pondy,SR,11.93499371,79.83000037,2019-01-14,8.3
Bihar,ER,25.78541445,87.4799727,2019-01-14,88.2
Jharkhand,ER,23.80039349,86.41998572,2019-01-14,24.8
Odisha,ER,19.82042971,85.90001746,2019-01-14,85.7
West Bengal,ER,22.58039044,88.32994665,2019-01-14,143.9
Sikkim,ER,27.3333303,88.6166475,2019-01-14,0.9
Arunachal Pradesh,NER,27.10039878,93.61660071,2019-01-14,2.1
Assam,NER,26.7499809,94.21666744,2019-01-14,31.7
Manipur,NER,24.79997072,93.95001705,2019-01-14,2.5
Meghalaya,NER,25.57049217,91.8800142,2019-01-14,5.4
Mizoram,NER,23.71039899,92.72001461,2019-01-14,1.8
Nagaland,NER,25.6669979,94.11657019,2019-01-14,2.1
Tripura,NER,23.83540428,91.27999914,2019-01-14,5.0
Punjab,NR,31.51997398,75.98000281,2019-01-15,141.1
Haryana,NR,28.45000633,77.01999101,2019-01-15,142.9
Rajasthan,NR,26.44999921,74.63998124,2019-01-15,185.4
Delhi,NR,28.6699929,77.23000403,2019-01-15,77.8
UP,NR,27.59998069,78.05000565,2019-01-15,326.7
Uttarakhand,NR,30.32040895,78.05000565,2019-01-15,34.3
HP,NR,31.10002545,77.16659704,2019-01-15,25.6
J&K,NR,33.45,76.24,2019-01-15,39.5
Chandigarh,NR,30.71999697,76.78000565,2019-01-15,3.2
Chhattisgarh,WR,22.09042035,82.15998734,2019-01-15,88.0
Gujarat,WR,22.2587,71.1924,2019-01-15,290.5
MP,WR,21.30039105,76.13001949,2019-01-15,170.2
Maharashtra,WR,19.25023195,73.16017493,2019-01-15,392.1
